+====================================+====================================+=========================================================================+
| Launch Setup Clock                 | Launch Hold Clock                  | Pin                                                                     |
+====================================+====================================+=========================================================================+
| Clk_PixelBase_design_1_clk_wiz_0_0 | Clk_PixelBase_design_1_clk_wiz_0_0 | design_1_i/DMA_Loop_AcpWr_0/inst/sys_Nege_pre_vs_reg/D                  |
| clk_fpga_0                         | clk_fpga_0                         | design_1_i/DMA_Loop_PsRd_0/inst/Post_Start_reg/D                        |
| Clk_PixelBase_design_1_clk_wiz_0_0 | Clk_PixelBase_design_1_clk_wiz_0_0 | design_1_i/DMA_Loop_AcpWr_0/inst/wr_burst_cnt_reg[0]/R                  |
| Clk_PixelBase_design_1_clk_wiz_0_0 | Clk_PixelBase_design_1_clk_wiz_0_0 | design_1_i/DMA_Loop_AcpWr_0/inst/wr_burst_cnt_reg[1]/R                  |
| Clk_PixelBase_design_1_clk_wiz_0_0 | Clk_PixelBase_design_1_clk_wiz_0_0 | design_1_i/DMA_Loop_AcpWr_0/inst/wr_burst_cnt_reg[5]/R                  |
| Clk_PixelBase_design_1_clk_wiz_0_0 | Clk_PixelBase_design_1_clk_wiz_0_0 | design_1_i/DMA_Loop_AcpWr_0/inst/wr_burst_cnt_reg[2]/R                  |
| Clk_PixelBase_design_1_clk_wiz_0_0 | Clk_PixelBase_design_1_clk_wiz_0_0 | design_1_i/DMA_Loop_AcpWr_0/inst/wr_burst_cnt_reg[3]/R                  |
| Clk_PixelBase_design_1_clk_wiz_0_0 | Clk_PixelBase_design_1_clk_wiz_0_0 | design_1_i/DMA_Loop_AcpWr_0/inst/wr_burst_cnt_reg[4]/R                  |
| clk_fpga_0                         | clk_fpga_0                         | design_1_i/DMA_Loop_top_0/inst/Post_Start_reg/D                         |
| Clk_PixelBase_design_1_clk_wiz_0_0 | Clk_PixelBase_design_1_clk_wiz_0_0 | design_1_i/DMA_Loop_AcpWr_0/inst/wr_brust_now_reg/D                     |
| Clk_PixelBase_design_1_clk_wiz_0_0 | Clk_PixelBase_design_1_clk_wiz_0_0 | design_1_i/DMA_Loop_AcpWr_0/inst/axi_wvalid_reg/D                       |
| clk_fpga_0                         | clk_fpga_0                         | design_1_i/HDMI_Para_Cut_0/inst/r1_Cut_Width_reg[3]/D                   |
| clk_fpga_0                         | clk_fpga_0                         | design_1_i/HDMI_Para_Cut_0/inst/r1_Cut_Width_reg[1]/D                   |
| clk_fpga_0                         | clk_fpga_0                         | design_1_i/HDMI_Para_Cut_0/inst/r1_Cut_High_reg[11]/D                   |
| clk_fpga_0                         | clk_fpga_0                         | design_1_i/HDMI_Para_Cut_0/inst/r1_Cut_Width_reg[11]/D                  |
| clk_fpga_0                         | clk_fpga_0                         | design_1_i/HDMI_Para_Cut_0/inst/r1_Cut_Width_reg[10]/D                  |
| clk_fpga_0                         | clk_fpga_0                         | design_1_i/HDMI_Para_Cut_0/inst/r1_sel_bit_reg[0]/D                     |
| clk_fpga_0                         | clk_fpga_0                         | design_1_i/HDMI_Para_Cut_0/inst/r1_Cut_Width_reg[0]/D                   |
